	only1nabil	TorontoStar	AcadieSon	ElDiabloZoe	RyersonU	TetraRyerson	sageryerson	sweetiepiecat	mathryerson	TheCatTweeting	CatsRuleNews	AndreasKalo	
accidentally	0.001226813148885209	0.001503484478931576	6.149418760981717E-4	0.0	0.0	0.0	0.0	4.170989515380664E-4	0.0	3.0053073797356515E-4	0.0	4.877037902624119E-4	
accidents	0.0012719722695696467	7.014725551321289E-4	4.781834632915212E-4	0.0	0.0	0.0	0.0	1.62169652884311E-4	0.0	7.010849384087831E-4	0.002426869415001965	0.0015169686538039635	
acclaim	0.0	7.772901996908822E-4	0.0015896016898368892	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
acclaimed	0.0025926037818329293	0.005242526342950238	0.0038986392549548703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004637953314152993	
accomplish	0.0	0.0	0.002204543565935061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
accomplished	0.0012963018909164647	0.0014297799117137014	9.746598137387176E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038649610951274936	
accomplishment	0.0025926037818329293	0.0014297799117137014	0.0019493196274774352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.729922190254987E-4	
accord	0.0	7.772901996908822E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012606960092879105	
account	0.003497923741316528	0.005144132070968945	0.004303651169623691	0.0	0.0010058786895873245	0.0	0.0	0.004540750280760708	0.0	0.003038034733104727	0.0	0.005688632451764863	
accountability	0.004537056618207627	0.01000845938199591	0.0068226186961710235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006956929971229488	
accountable	0.005833358509124091	0.006195712950759372	0.0029239794412161528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023189766570764964	
accountant	8.178754325901393E-4	0.002405575166290522	0.0012298837521963434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
accounting	0.0012963018909164647	4.765933039045671E-4	0.0048732990686935875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005410945533178491	
accounts	0.0010330048110475437	7.595810502110696E-4	0.0031067709883998906	0.0	0.0016338053124781747	0.0	0.0	0.0	0.0	0.0	0.0	0.0030799333347848725	
accreditation	0.0	0.0	0.0	0.0	0.004597715223948873	0.0	0.0	0.0	0.013256422981068815	0.0	0.0	0.0	
accumulated	0.009074113236415254	0.010485052685900475	0.0058479588824323055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009275906628305986	
accuracy	0.002453626297770418	0.001202787583145261	0.0012298837521963434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
accurate	0.005833358509124091	0.00810208616637764	0.008771938323648459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038649610951274936	
accusation	0.005833358509124091	0.004289339735141104	0.0029239794412161528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003091968876101995	
accusations	0.0	0.0	0.0031792033796737783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012606960092879105	
