only1nabil	TorontoStar	AcadieSon	ElDiabloZoe	RyersonU	TetraRyerson	sageryerson	sweetiepiecat	mathryerson	TheCatTweeting	CatsRuleNews	AndreasKalo
0.003888906	0.0071489	0.007797279	0	0	0	0	0	0	0	0	0.007729922
0.003888906	0.00285956	0.002923979	0	0	0	0	0	0	0	0	0.003864961
0	7.77E-04	0.001589602	0	0	0	0	0	0	0	0	0
0.001944453	0.00142978	0.004873299	0	0	0	0	0	0	0	0	0.001545984
0.003240755	0.003336153	9.75E-04	0	0	0	0	0	0	0	0	0.003091969
0.004907253	0.006615332	0	0	0	0	0	0	0	0	0	0.006827853
0.002592604	0.00428934	0.004873299	0	0	0	0	0	0	0	0	0.004637953
6.48E-04	0.00285956	9.75E-04	0	0	0	0	0	0	0	0	7.73E-04
0	0	0	0	5.80E-04	0	0	0	0	0	0	0
0	0	0	0	0.002507845	0	0	0	0.004418808	0	0	0
0	0	0	0	0.00405768	0	0	0	0	0	0	0
6.48E-04	0.00142978	0.002923979	0	0	0	0	0	0	0	0	0.002318977
0	0	0	0	0	0	0	0.00215637	0	0.001553721	0	0
0.003888906	0.0071489	0.003898639	0	0	0	0	0	0	0	0	0.003091969
0.007777811	0.005242526	0.005847959	0	0	0	0	0	0	0	0	0.009275907
0	9.53E-04	9.75E-04	0	5.13E-04	0	0	0	0	0	0	7.73E-04
0	0	0	0	0.008777456	0	0	0	0.013256423	0	0	0
4.09E-04	3.01E-04	6.15E-04	0	0	0	0	0.001876945	0	0.001502654	0	9.75E-04
0	0.001077987	0	0	0	0	0	0	0	0	0	0
0.001549507	0.001519162	0.002330078	0	0	0	0	0	0.002159067	0	0	0.00184796
0.003240755	9.53E-04	0.00194932	0	0	0	0	0	0	0	0	0.003864961
0.003888906	0.002382967	0.00194932	0	0	0	0	0	0	0	0	0.003091969
0	0	0	0	0	0	0	0.001495284	0	0	0	0
0	0	0	0	0.002318674	0	0	0	0	0	0	0
0.001296302	0.003336153	9.75E-04	0	0	0	0	0	0	0	0	7.73E-04
0.002044689	9.02E-04	0.001844826	0	0	0	0	0.001459846	0	0.001202123	0	0.001463111
0.002543945	0.001636769	0.001912734	0	0	0	0	0.002432545	0	2.34E-04	0.002426869	0.001516969
0.002592604	0.001906373	0.00194932	0	0	0	0	0	0	0	0	0.002318977
0	0	9.75E-04	0	0	0	0	9.92E-04	0	4.76E-04	0	7.73E-04
0.008425962	0.008578679	0.005847959	0	0	0	0	0	0	0	0	0.00695693
0	0	0	0	0	0	0	0.001251297	0	6.01E-04	0.006241887	0
0.003271502	6.01E-04	6.15E-04	0	0	0	0	0.003753891	0	0.003606369	0	4.88E-04
0	0	0	0	0	0	0	0.001251297	0	6.01E-04	0.006241887	0
0	0	0	0	0	0	0	0.011678771	0	0.009015922	0.012483774	0
8.18E-04	0	0.002459768	0	0	0	0	0	0	0	0	0.001950815
0	0	0	0	0.012752709	0	0	0	0	0	0	0
8.18E-04	0.001804181	0.001229884	0	0	0	0	0	0	0	0	0
0.001226813	9.02E-04	0.001229884	0	3.23E-04	0	0	2.09E-04	0	0	0	9.75E-04
0.001296302	0.00285956	9.75E-04	0	0	0	0	0	0	0	0	0.001545984
0.003099014	0.002658534	0.006213542	0	0.002654934	0	0	0	0	0	0	0.004311907
0.003240755	0.00285956	0.007797279	0	0	0	0	0	0	0	0	7.73E-04
8.18E-04	0.001804181	0.003689651	0	0	0	0	0	0	0	0	0
0	0	0	0	0.010031379	0	0	0	0.004418808	0	0	0
0.002862564	0.002405575	0.001844826	0	8.08E-04	0	0	0	0.003418856	0	0	0.001950815
0	0	0	0	0.002925819	0	0	0	0.004418808	0	0	0
5.09E-04	7.49E-04	2.55E-04	0	9.40E-04	0	0	0.001558005	0.001418954	0.001372047	0.001295309	6.07E-04
0.001057089	7.77E-04	0	0	0	0	0	0	0	0	0	0
0.001944453	0.002382967	0.003898639	0	0	0	0	0	0	0	0	0.001545984
0.004537057	0.005242526	0.005847959	0	0	0	0	0	0	0	0	0.005410946
0	0.003006969	0.006149419	0	0	0	0	0	0	0	0	0.005852445
0.002114177	0	0	0	0	0	0	0	0	0	0	0.001260696
0.002453626	0.003608363	0	0	0	0	0	0	0	0	0	0.001950815
0.003271502	0.004209757	0	0	0	0	0	0	0	0	0	0.002926223
0.001674493	0.001055378	3.60E-04	0	1.89E-04	0	0	0.001585917	0	0.001582193	0.00365127	0.001141154
4.78E-04	8.79E-04	7.19E-04	0	9.46E-05	0	0	3.66E-04	0	1.76E-04	0.001825635	5.71E-04
8.18E-04	0	0	0	9.70E-04	0	0	0	0	0	0	0.001950815
0	0	0	0	0.002507845	0	0	0	0.004418808	0	0	0
0.001635751	0.001804181	0.003689651	0	0	0	0	0	0	0	0	0
0.009722264	0.011438239	0.008771938	0	0	0	0	0	0	0	0	0.004637953
0	0	0	0	5.80E-04	0	0	0	0	0	0	0
6.48E-04	0.002382967	0.002923979	0	0	0	0	0	0	0	0	0.001545984
0.004498315	0.006615332	0.007379303	0	0.002748806	0	0	0	0.001709428	0	0	0.006827853
0.003271502	0.004209757	0	0	0	0	0	0	0	0	0	0.00390163
0	6.01E-04	0.001229884	0	0	0	0	0	0	0	0	9.75E-04
8.18E-04	0	0.001229884	0	0	0	0	0	0	0	0	0.001950815
0	6.01E-04	0.001229884	0	0	0	0	0	0	0	0	9.75E-04
0.003271502	6.01E-04	0	0	0	0	0	0	0.003418856	0	0	0
8.18E-04	6.01E-04	0	0	0	0	0	0	0	0	0	0.001950815
0	3.80E-04	7.77E-04	0	2.04E-04	0	0	0	0.002159067	0	0	6.16E-04
0.003680439	0.002405575	0.001844826	0	0.002748806	0	0	0	0.006837713	0	0	0.002438519
4.09E-04	6.01E-04	0.001229884	0.034371418	0	0	0	8.34E-04	0	9.02E-04	0	0
0	0	0	0	0	0	0	0.001668396	0	0.001202123	0.006241887	0
0	0.003608363	0.002459768	0	0	0	0	0	0	0	0	0.004877038
0.004089377	0	0.002459768	0	0	0	0	0	0	0	0	0.001950815
0	0	0	0	0	0	0	0.001078185	0	7.77E-04	0	0
6.48E-04	9.53E-04	0	0	0	0	0	0.001322172	0	0.00190532	0	0
0.004537057	0.003812746	0.002923979	0	0	0	0	0	0	0	0	0.003864961
0.001296302	0.004765933	0.004873299	0	0	0	0	0	0	0	0	7.73E-04
0	0.001139372	0.001553385	0	0	0	0	0.001580431	0	0.003416226	0	6.16E-04
0.005833359	0.002382967	0.00194932	0	0	0	0	0	0	0	0	0.001545984
0.004089377	0	0.002459768	0	0	0	0	0	0	0	0	0.002926223
0.002114177	0	0.001589602	0	0	0	0	0	0	0	0	0
0.004228355	0.00155458	0	0	0	0	0	0	0	0	0	0
5.17E-04	0.002658534	0.002330078	0	0	0	0	0.001053621	0	7.59E-04	0	0
0	0	0	0	0	0	0	7.48E-04	0	0	0	0
8.18E-04	0.001202788	0.001229884	0	0	0	0	8.34E-04	0	9.02E-04	0	9.75E-04
0	0.00155458	0.001589602	0	0	0	0	0	0	0	0	0
0.002592604	4.77E-04	9.75E-04	0	0	0	0	0	0	0	0	0.001545984
6.48E-04	0.001906373	0.00194932	0	0	0	0	0	0	0	0	0.003091969
8.18E-04	6.01E-04	0	0	0	0	0	0	0	0	0	9.75E-04
0	0	0	0	0	0	0	0.00417099	0	0.004808492	0.012483774	0
0.002862564	0.002104878	6.15E-04	0	0.001616945	0	0	0	0.001709428	0	0	4.88E-04
0	0.001139372	7.77E-04	0	0	0	0	0.004477888	0	0.004175387	0	0.001231973
0	0	0	0	0.001159337	0	0	0	0	0	0	0
8.18E-04	0.001202788	0	0	0	0	0	0	0	0	0	9.75E-04
0	0.002331871	0.003179203	0	0	0	0	0	0	0	0	0
8.18E-04	0.001202788	0	0	0	0	0	0	0	0	0	9.75E-04
0	0.001077987	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.005390926	0	0.006214886	0	0
0	0	0	0	0	0	0	0.001617278	0	0.002330582	0	0
0	6.01E-04	0.001229884	0	0	0	0	0	0	0	0	0.001950815
0	7.77E-04	0.003179203	0	0	0	0	0	0	0	0	0
0.001435279	1.76E-04	0.00179859	0	0.001040437	0	0	6.10E-04	1.00E-03	3.52E-04	0	0.001141154
0.003240755	0.003336153	0.003898639	0	0	0	0	0	0	0	0	0.002318977
0.004089377	0.003006969	0	0	0	0	0	0	0	0	0	0.001950815
0.001944453	0.002382967	9.75E-04	0	0	0	0	0	0	0	0	7.73E-04
0.001944453	0.001906373	0.00194932	0	0	0	0	0	0	0	0	0.001545984
