	TorontoStar	only1nabil	AcadieSon	AndreasKalo	RyersonU	sageryerson	TetraRyerson	mathryerson	CatsRuleNews	TheCatTweeting	sweetiepiecat	ElDiabloZoe	
acquittal	0.0010038570401371013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
acquitted	0.0020077140802742025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
acres	0.0	0.0	0.007361480551895291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0090738781157824	0.0	
acrobatics	0.0	0.0	0.0	0.014098797337086418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
actd	0.0010038570401371013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
acted	0.0010038570401371013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
actin	0.0	0.0	0.0	0.004699599112362139	0.0	0.0	0.0	0.0	0.0	0.029344301361958185	0.0	0.0	
acting	0.0	0.0	0.0	0.004699599112362139	0.001856567152681522	0.0	0.0	0.0	0.0	0.0029344301361958185	0.0045369390578912	0.0	
action	0.0	0.0	0.0	0.0	0.02599194013754131	0.0	0.0	0.0	0.0	0.0	0.0181477562315648	0.0	
actionbronson	0.0	0.0	0.0	0.009399198224724278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
actioncam	0.0	0.0052929083454719235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
actions	5.019285200685506E-4	0.0	0.0036807402759476454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0045369390578912	0.0	
active	0.0	0.0052929083454719235	0.011042220827842937	0.0	0.003713134305363044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
activist	5.019285200685506E-4	0.0	0.014722961103790582	0.0	0.001856567152681522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
activists	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0045369390578912	0.0	
activity	0.0	0.026464541727359618	0.0	0.0	0.0046414178817038056	0.0	0.0	0.010777172045613662	0.0	0.0	0.0	0.0	
actor	0.0027081490512177683	0.0	0.001527645239624232	9.75254931603928E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0181477562315648	0.0	
actors	2.0831915778598217E-4	0.0010983777218083947	0.0	9.75254931603928E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0045369390578912	0.0	
actress	0.0050192852006855065	0.0	0.0036807402759476454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0045369390578912	0.0	
acts	5.019285200685506E-4	0.0	0.0	0.0023497995561810696	0.0	0.0	0.0	0.0	0.0	0.0	0.0045369390578912	0.0	
actual	0.0	0.0026464541727359617	0.007361480551895291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
acura	0.0	0.0	0.0	0.009399198224724278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
acwdk	0.0010038570401371013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
ad	6.249574733579465E-4	0.009885399496275553	0.0	0.0029257647948117836	0.001856567152681522	0.0	0.0	0.0	0.0	0.0	0.0045369390578912	0.0	
adam	4.1663831557196433E-4	0.0010983777218083947	0.0	9.75254931603928E-4	0.003713134305363044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
adambomb	0.0	0.0	0.0	0.004699599112362139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
adamfeibel	0.0	0.0	0.0	0.009399198224724278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
adamlevitan	0.0	0.0052929083454719235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
adammayerspf	0.0030115711204113035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
adams	0.0020077140802742025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
adapt	5.019285200685506E-4	0.0026464541727359617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
adaptation	0.0010038570401371013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
aday	0.0	0.0052929083454719235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
add	0.001041595788929911	0.004393510887233579	0.006110580958496928	0.0	0.003713134305363044	0.0	0.0	0.0	0.0	0.0	0.0045369390578912	0.0	
addendum	0.0	0.0	0.007361480551895291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
adder	0.0010038570401371013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
addict	5.019285200685506E-4	0.0026464541727359617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
addicted	0.0010038570401371013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
addiction	4.1663831557196433E-4	0.0021967554436167895	0.001527645239624232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
adding	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
addition	0.0	0.0	0.0	0.004699599112362139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
additives	0.0	0.0	0.007361480551895291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
address	8.332766311439287E-4	0.0	0.001527645239624232	0.00487627465801964	0.0027848507290222833	0.0	0.0	0.005388586022806831	0.0	0.0029344301361958185	0.0022684695289456	0.0	
addresses	0.0	0.0	0.0	0.004699599112362139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
adds	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0045369390578912	0.0	
adebe	0.0010038570401371013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
adelaidehallto	0.0	0.0	0.0	0.004699599112362139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
adele	0.0	0.0026464541727359617	0.0	0.011748997780905348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
adelesnl	0.0	0.0	0.0	0.004699599112362139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
adevotedyogi	0.0	0.0	0.007361480551895291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
adfree	0.0	0.0	0.0	0.004699599112362139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
adhd	0.0	0.0	0.007361480551895291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
adidas	0.0	0.021171633381887694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
adjoining	0.0	0.0	0.007361480551895291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
adjust	0.0	0.0	0.007361480551895291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
admirable	0.0	0.0	0.007361480551895291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
admiralty	0.0	0.0	0.014722961103790582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
admire	0.0	0.0	0.007361480551895291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
admission	0.0020077140802742025	0.0	0.0	0.0	0.0055697014580445665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
admit	2.0831915778598217E-4	0.0021967554436167895	0.001527645239624232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013610817173673599	0.0	
admits	6.249574733579465E-4	0.0010983777218083947	0.0	9.75254931603928E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
admitted	0.0	0.0	0.0	0.004699599112362139	0.001856567152681522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
adms	0.0	0.0	0.007361480551895291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
adnansadiq	0.0	0.0	0.014722961103790582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
adonis	0.0	0.0	0.0	0.004699599112362139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
adopt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0045369390578912	0.0	
adopted	0.0	0.0010983777218083947	0.001527645239624232	0.0029257647948117836	0.0	0.0	0.0	0.0	0.0	0.0	0.013610817173673599	0.0	
adopter	0.0	0.0052929083454719235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
adopting	0.0	0.0010983777218083947	0.001527645239624232	9.75254931603928E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0045369390578912	0.0	
adoption	0.0	0.0026464541727359617	0.0036807402759476454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
adorable	0.0	0.0052929083454719235	0.0	0.0	0.0	0.0	0.0	0.0	0.019908467541978087	0.0	0.0158792867026192	0.0	
adrenalinepumping	0.0010038570401371013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
adria	0.0	0.0	0.0	0.004699599112362139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
adrthinktank	0.0	0.0	0.0	0.014098797337086418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
ads	4.1663831557196433E-4	0.007688644052658762	0.0	0.001950509863207856	0.001856567152681522	0.0	0.0	0.0	0.0	0.005868860272391637	0.0	0.0	
adsense	0.0	0.0	0.0	0.004699599112362139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
adult	0.0	0.0026464541727359617	0.014722961103790582	0.0	0.007426268610726088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
adultchild	0.0	0.0	0.007361480551895291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
adults	2.0831915778598217E-4	0.003295133165425184	0.001527645239624232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
advanced	0.0	0.0052929083454719235	0.0	0.0	0.0055697014580445665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
advantage	0.0	0.003295133165425184	0.001527645239624232	9.75254931603928E-4	0.003713134305363044	0.0	0.0	0.0	0.03981693508395617	0.0	0.0	0.0	
advantages	0.0010038570401371013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
